! 11Li range in CF4
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	804.33    	0.001000	804.33    	0.001000	681.196   	0.001000	681.196   	0.001000	681.52    	0.001000	0         	0.001000	0         	0.001000	14.5007   	0.001000	22.7655   	0.001000	10.9481   	
0.002000	1608.66   	0.002000	1608.66   	0.002000	1362.39   	0.002000	1362.39   	0.002000	1363.04   	0.002000	68.3999   	0.002000	68.3999   	0.002000	42.4698   	0.002000	64.4211   	0.002000	33.2994   	
0.005000	3725.99   	0.005000	3725.99   	0.005000	3160.2    	0.005000	3160.2    	0.005000	3161.23   	0.005000	82.3395   	0.005000	82.3395   	0.005000	155.376   	0.005000	227.163   	0.005000	126.201   	
0.008000	5462.44   	0.008000	5462.44   	0.008000	4671.21   	0.008000	4671.21   	0.008000	4672.38   	0.008000	82.8757   	0.008000	82.8757   	0.008000	283.51    	0.008000	407.933   	0.008000	233.483   	
0.010000	6475.14   	0.010000	6475.14   	0.010000	5570.09   	0.010000	5570.09   	0.010000	5571.32   	0.010000	84.6648   	0.010000	84.6648   	0.010000	371.729   	0.010000	531.11    	0.010000	307.932   	
0.015000	8671.6    	0.015000	8671.6    	0.015000	7559.79   	0.015000	7559.79   	0.015000	7561.1    	0.015000	93.2099   	0.015000	93.2099   	0.015000	594.796   	0.015000	839.756   	0.015000	497.451   	
0.020000	10565.2   	0.020000	10565.2   	0.020000	9291.88   	0.020000	9291.88   	0.020000	9293.22   	0.020000	103.819   	0.020000	103.819   	0.020000	817.192   	0.020000	1142.92   	0.020000	687.641   	
0.025000	12193.2   	0.025000	12193.2   	0.025000	10835.4   	0.025000	10835.4   	0.025000	10836.8   	0.025000	114.07    	0.025000	114.07    	0.025000	1026.46   	0.025000	1409.3    	0.025000	868.257   	
0.030000	13619.2   	0.030000	13619.2   	0.030000	12249.6   	0.030000	12249.6   	0.030000	12251     	0.030000	123.608   	0.030000	123.608   	0.030000	1188.4    	0.030000	1604.29   	0.030000	1006.65   	
0.035000	14913.3   	0.035000	14913.3   	0.035000	13576.8   	0.035000	13576.8   	0.035000	13578.2   	0.035000	132.573   	0.035000	132.573   	0.035000	1316.72   	0.035000	1755.72   	0.035000	1116.61   	
0.040000	16118.1   	0.040000	16118.1   	0.040000	14830.1   	0.040000	14830.1   	0.040000	14831.6   	0.040000	140.868   	0.040000	140.868   	0.040000	1423.39   	0.040000	1881      	0.040000	1207.53   	
0.045000	17256.6   	0.045000	17256.6   	0.045000	16020.2   	0.045000	16020.2   	0.045000	16021.6   	0.045000	148.506   	0.045000	148.506   	0.045000	1514.61   	0.045000	1988.25   	0.045000	1286.35   	
0.050000	18342.4   	0.050000	18342.4   	0.050000	17155.4   	0.050000	17155.4   	0.050000	17156.8   	0.050000	155.537   	0.050000	155.112   	0.050000	1594.16   	0.050000	2082.18   	0.050000	1354.53   	
0.055000	19383     	0.055000	19383     	0.055000	18242.6   	0.055000	18242.6   	0.055000	18244     	0.055000	162.025   	0.055000	160.895   	0.055000	1663.98   	0.055000	2164.95   	0.055000	1415.45   	
0.060000	20383.6   	0.060000	20383.6   	0.060000	19287.6   	0.060000	19287.6   	0.060000	19289     	0.060000	168.034   	0.060000	166.182   	0.060000	1726.84   	0.060000	2239.81   	0.060000	1470.22   	
0.070000	22283.4   	0.070000	22283.4   	0.070000	21269.6   	0.070000	21269.6   	0.070000	21271     	0.070000	178.842   	0.070000	175.563   	0.070000	1836      	0.070000	2370.07   	0.070000	1565.11   	
0.080000	24072.4   	0.080000	24072.4   	0.080000	23132.2   	0.080000	23132.2   	0.080000	23133.7   	0.080000	188.348   	0.080000	183.713   	0.080000	1929.03   	0.080000	2481.19   	0.080000	1645.72   	
0.090000	25773.5   	0.090000	25773.5   	0.090000	24898.6   	0.090000	24898.6   	0.090000	24900.1   	0.090000	196.85    	0.090000	190.942   	0.090000	2008.53   	0.090000	2576.81   	0.090000	1716.34   	
0.100000	27403.8   	0.100000	27403.8   	0.100000	26586.4   	0.100000	26586.4   	0.100000	26587.9   	0.100000	204.568   	0.100000	197.466   	0.100000	2079.94   	0.100000	2662.16   	0.100000	1778.6    	
0.120000	30489.4   	0.120000	30489.4   	0.120000	29779     	0.120000	29779     	0.120000	29780.5   	0.120000	218.279   	0.120000	208.99    	0.120000	2202.08   	0.120000	2807.85   	0.120000	1886.08   	
0.140000	33388.1   	0.140000	33388.1   	0.140000	32791.4   	0.140000	32791.4   	0.140000	32792.9   	0.140000	230.403   	0.140000	219.123   	0.140000	2305.95   	0.140000	2930.63   	0.140000	1978.09   	
0.160000	36155.5   	0.160000	36155.5   	0.160000	35678.3   	0.160000	35678.3   	0.160000	35679.8   	0.160000	241.504   	0.160000	228.365   	0.160000	2396.98   	0.160000	3037.08   	0.160000	2059.93   	
0.180000	38831.9   	0.180000	38831.9   	0.180000	38478.1   	0.180000	38478.1   	0.180000	38479.5   	0.180000	251.946   	0.180000	237.028   	0.180000	2479.61   	0.180000	3132.48   	0.180000	2133.57   	
0.200000	41444.5   	0.200000	41444.5   	0.200000	41218.4   	0.200000	41218.4   	0.200000	41219.9   	0.200000	261.977   	0.200000	245.325   	0.200000	2555.76   	0.200000	3219.04   	0.200000	2202.72   	
0.250000	47808.1   	0.250000	47808.1   	0.250000	47933.9   	0.250000	47933.9   	0.250000	47935.4   	0.250000	286.284   	0.250000	265.329   	0.250000	2728.69   	0.250000	3410.9    	0.250000	2358.99   	
0.300000	53978.6   	0.300000	53978.6   	0.300000	54595     	0.300000	54595     	0.300000	54596.5   	0.300000	310.541   	0.300000	285.154   	0.300000	2886.16   	0.300000	3579.56   	0.300000	2503.26   	
0.350000	60046.1   	0.350000	60046.1   	0.350000	61277.2   	0.350000	61277.2   	0.350000	61278.6   	0.350000	335.181   	0.350000	305.185   	0.350000	3033.9    	0.350000	3733.25   	0.350000	2639.19   	
0.400000	66102.5   	0.400000	66102.5   	0.400000	68064     	0.400000	68064     	0.400000	68065.5   	0.400000	360.867   	0.400000	325.948   	0.400000	3176.91   	0.400000	3877.71   	0.400000	2770.87   	
0.450000	72218.3   	0.450000	72218.3   	0.450000	75016.1   	0.450000	75016.1   	0.450000	75017.6   	0.450000	388.089   	0.450000	347.816   	0.450000	3311.82   	0.450000	4016.86   	0.450000	2901.84   	
0.500000	78436.8   	0.500000	78436.8   	0.500000	82167     	0.500000	82167     	0.500000	82168.5   	0.500000	417.089   	0.500000	370.961   	0.500000	3444.25   	0.500000	4152.34   	0.500000	3032.23   	
0.600000	91247.8   	0.600000	91247.8   	0.600000	97117.2   	0.600000	97117.2   	0.600000	97118.6   	0.600000	480.598   	0.600000	421.802   	0.600000	3707.53   	0.600000	4417.85   	0.600000	3295.88   	
0.700000	104755    	0.700000	104755    	0.700000	112964    	0.700000	112964    	0.700000	112965    	0.700000	551.288   	0.700000	481.294   	0.700000	3972.47   	0.700000	4686.24   	0.700000	3563.77   	
0.800000	118953    	0.800000	118953    	0.800000	129710    	0.800000	129710    	0.800000	129711    	0.800000	628.705   	0.800000	548.028   	0.800000	4242.02   	0.800000	4960.72   	0.800000	3838.82   	
0.900000	133775    	0.900000	133775    	0.900000	147343    	0.900000	147343    	0.900000	147345    	0.900000	712.358   	0.900000	620.496   	0.900000	4515.77   	0.900000	5241.44   	0.900000	4120.25   	
1.000000	149364    	1.000000	149364    	1.000000	165871    	1.000000	165871    	1.000000	165872    	1.000000	802.141   	1.000000	697.932   	1.000000	4796.14   	1.000000	5530.31   	1.000000	4409.38   	
