! 3H range in H180C10F40
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	314.488   	0.001000	314.488   	0.001000	279.505   	0.001000	279.505   	0.001000	279.574   	0.001000	0         	0.001000	0         	0.001000	4.20709   	0.001000	8.42796   	0.001000	4.31405   	
0.002000	628.977   	0.002000	628.977   	0.002000	559.01    	0.002000	559.01    	0.002000	559.147   	0.002000	19.4751   	0.002000	19.4751   	0.002000	12.3204   	0.002000	23.8471   	0.002000	13.2217   	
0.005000	1359.58   	0.005000	1359.58   	0.005000	1239.66   	0.005000	1239.66   	0.005000	1239.87   	0.005000	22.7035   	0.005000	22.7035   	0.005000	41.8426   	0.005000	78.4576   	0.005000	46.6085   	
0.008000	1946.56   	0.008000	1946.56   	0.008000	1807.96   	0.008000	1807.96   	0.008000	1808.2    	0.008000	22.824    	0.008000	22.824    	0.008000	74.8719   	0.008000	138.153   	0.008000	84.857    	
0.010000	2294.47   	0.010000	2294.47   	0.010000	2151.4    	0.010000	2151.4    	0.010000	2151.64   	0.010000	23.2423   	0.010000	23.2423   	0.010000	97.9246   	0.010000	179.347   	0.010000	111.848   	
0.015000	3027.34   	0.015000	3027.34   	0.015000	2930.2    	0.015000	2930.2    	0.015000	2930.46   	0.015000	25.4096   	0.015000	25.4096   	0.015000	154.357   	0.015000	276.44    	0.015000	182.603   	
0.020000	3621.5    	0.020000	3621.5    	0.020000	3631.18   	0.020000	3631.18   	0.020000	3631.45   	0.020000	28.3772   	0.020000	28.3772   	0.020000	206.953   	0.020000	361.061   	0.020000	249.161   	
0.025000	4135.99   	0.025000	4135.99   	0.025000	4278.53   	0.025000	4278.53   	0.025000	4278.81   	0.025000	31.5421   	0.025000	31.5421   	0.025000	258.019   	0.025000	439.977   	0.025000	297.45    	
0.030000	4601.14   	0.030000	4601.14   	0.030000	4885.46   	0.030000	4885.46   	0.030000	4885.74   	0.030000	34.6538   	0.030000	34.6538   	0.030000	306.835   	0.030000	513.58    	0.030000	336.002   	
0.035000	5034.43   	0.035000	5034.43   	0.035000	5461.37   	0.035000	5461.37   	0.035000	5461.65   	0.035000	37.6379   	0.035000	37.6379   	0.035000	347.527   	0.035000	574.797   	0.035000	368.22    	
0.040000	5446.54   	0.040000	5446.54   	0.040000	6013.32   	0.040000	6013.32   	0.040000	6013.6    	0.040000	40.4882   	0.040000	40.4882   	0.040000	381.586   	0.040000	625.953   	0.040000	395.922   	
