! 3He range in H180C10F40
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	261.162   	0.001000	261.162   	0.001000	200.692   	0.001000	200.692   	0.001000	200.776   	0.001000	0         	0.001000	0         	0.001000	2.49933   	0.001000	5.12904   	0.001000	2.52105   	
0.002000	522.324   	0.002000	522.324   	0.002000	401.384   	0.002000	401.384   	0.002000	401.551   	0.002000	23.9556   	0.002000	23.9556   	0.002000	7.31902   	0.002000	14.5111   	0.002000	7.75081   	
0.005000	1084.61   	0.005000	1084.61   	0.005000	830.92    	0.005000	830.92    	0.005000	831.155   	0.005000	27.0231   	0.005000	27.0231   	0.005000	22.1885   	0.005000	42.9378   	0.005000	24.232    	
0.008000	1492.39   	0.008000	1492.39   	0.008000	1148.66   	0.008000	1148.66   	0.008000	1148.91   	0.008000	27.0898   	0.008000	27.0898   	0.008000	36.4551   	0.008000	69.7061   	0.008000	40.3823   	
0.010000	1721.62   	0.010000	1721.62   	0.010000	1330.09   	0.010000	1330.09   	0.010000	1330.35   	0.010000	27.2974   	0.010000	27.2974   	0.010000	45.6686   	0.010000	86.8319   	0.010000	50.9181   	
0.015000	2187.77   	0.015000	2187.77   	0.015000	1722.75   	0.015000	1722.75   	0.015000	1723.02   	0.015000	28.2608   	0.015000	28.2608   	0.015000	67.9769   	0.015000	127.942   	0.015000	76.66     	
0.020000	2553.55   	0.020000	2553.55   	0.020000	2060.9    	0.020000	2060.9    	0.020000	2061.18   	0.020000	29.4991   	0.020000	29.4991   	0.020000	89.5984   	0.020000	167.409   	0.020000	101.853   	
0.025000	2862.11   	0.025000	2862.11   	0.025000	2364.01   	0.025000	2364.01   	0.025000	2364.29   	0.025000	30.7901   	0.025000	30.7901   	0.025000	110.289   	0.025000	204.542   	0.025000	126.65    	
0.030000	3134.62   	0.030000	3134.62   	0.030000	2641.65   	0.030000	2641.65   	0.030000	2641.93   	0.030000	32.0454   	0.030000	32.0454   	0.030000	129.06    	0.030000	236.771   	0.030000	151.093   	
0.035000	3382.77   	0.035000	3382.77   	0.035000	2899.92   	0.035000	2899.92   	0.035000	2900.21   	0.035000	33.2378   	0.035000	33.2378   	0.035000	146.602   	0.035000	265.919   	0.035000	174.79    	
