! 8Li range in C10F40H180
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	3.37555   	0.001000	3.37555   	0.001000	2.61922   	0.001000	2.61922   	0.001000	2.61978   	0.001000	0         	0.001000	0         	0.001000	0.0405558 	0.001000	0.0820096 	0.001000	0.0423583 	
0.002000	6.75109   	0.002000	6.75109   	0.002000	5.23845   	0.002000	5.23845   	0.002000	5.23956   	0.002000	0.212308  	0.002000	0.212308  	0.002000	0.118768  	0.002000	0.232055  	0.002000	0.129732  	
0.005000	15.4455   	0.005000	15.4455   	0.005000	11.8003   	0.005000	11.8003   	0.005000	11.802    	0.005000	0.251086  	0.005000	0.251086  	0.005000	0.413942  	0.005000	0.782177  	0.005000	0.469945  	
0.008000	22.4534   	0.008000	22.4534   	0.008000	17.1084   	0.008000	17.1084   	0.008000	17.1104   	0.008000	0.252347  	0.008000	0.252347  	0.008000	0.732566  	0.008000	1.36419   	0.008000	0.844722  	
0.010000	26.5114   	0.010000	26.5114   	0.010000	20.2144   	0.010000	20.2144   	0.010000	20.2164   	0.010000	0.256427  	0.010000	0.256427  	0.010000	0.946751  	0.010000	1.75169   	0.010000	1.09903   	
0.015000	35.2412   	0.015000	35.2412   	0.015000	27.036    	0.015000	27.036    	0.015000	27.0381   	0.015000	0.275801  	0.015000	0.275801  	0.015000	1.46773   	0.015000	2.67548   	0.015000	1.73817   	
0.020000	42.581    	0.020000	42.581    	0.020000	33.035    	0.020000	33.035    	0.020000	33.0372   	0.020000	0.301139  	0.020000	0.301139  	0.020000	1.93658   	0.020000	3.45307   	0.020000	2.37456   	
0.025000	48.852    	0.025000	48.852    	0.025000	38.4365   	0.025000	38.4365   	0.025000	38.4387   	0.025000	0.326792  	0.025000	0.326792  	0.025000	2.37287   	0.025000	4.14604   	0.025000	2.85669   	
0.030000	54.337    	0.030000	54.337    	0.030000	43.3628   	0.030000	43.3628   	0.030000	43.365    	0.030000	0.35058   	0.030000	0.35058   	0.030000	2.78375   	0.030000	4.78051   	0.030000	3.21676   	
0.035000	59.2786   	0.035000	59.2786   	0.035000	47.9093   	0.035000	47.9093   	0.035000	47.9115   	0.035000	0.372071  	0.035000	0.372071  	0.035000	3.15448   	0.035000	5.33782   	0.035000	3.50438   	
0.040000	63.8244   	0.040000	63.8244   	0.040000	52.1485   	0.040000	52.1485   	0.040000	52.1508   	0.040000	0.391408  	0.040000	0.391408  	0.040000	3.45366   	0.040000	5.78343   	0.040000	3.74385   	
0.045000	68.0631   	0.045000	68.0631   	0.045000	56.1346   	0.045000	56.1346   	0.045000	56.1368   	0.045000	0.408866  	0.045000	0.408866  	0.045000	3.70187   	0.045000	6.15049   	0.045000	3.94617   	
0.050000	72.0529   	0.050000	72.0529   	0.050000	59.9092   	0.050000	59.9092   	0.050000	59.9115   	0.050000	0.424727  	0.050000	0.424114  	0.050000	3.91434   	0.050000	6.46276   	0.050000	4.12463   	
0.055000	75.8329   	0.055000	75.8329   	0.055000	63.5051   	0.055000	63.5051   	0.055000	63.5074   	0.055000	0.439243  	0.055000	0.437596  	0.055000	4.09791   	0.055000	6.73183   	0.055000	4.27982   	
0.060000	79.4326   	0.060000	79.4326   	0.060000	66.9487   	0.060000	66.9487   	0.060000	66.951    	0.060000	0.45263   	0.060000	0.449924  	0.060000	4.26144   	0.060000	6.97076   	0.060000	4.41948   	
0.070000	86.1872   	0.070000	86.1872   	0.070000	73.4611   	0.070000	73.4611   	0.070000	73.4634   	0.070000	0.476703  	0.070000	0.47193   	0.070000	4.54254   	0.070000	7.37971   	0.070000	4.6633    	
0.080000	92.4713   	0.080000	92.4713   	0.080000	79.5783   	0.080000	79.5783   	0.080000	79.5805   	0.080000	0.498042  	0.080000	0.491355  	0.080000	4.78039   	0.080000	7.72363   	0.080000	4.87177   	
0.090000	98.3951   	0.090000	98.3951   	0.090000	85.3939   	0.090000	85.3939   	0.090000	85.3962   	0.090000	0.517405  	0.090000	0.508962  	0.090000	4.98323   	0.090000	8.01564   	0.090000	5.05312   	
0.100000	104.04    	0.100000	104.04    	0.100000	90.977    	0.100000	90.977    	0.100000	90.9793   	0.100000	0.535324  	0.100000	0.525114  	0.100000	5.16577   	0.100000	8.27644   	0.100000	5.217     	
0.120000	114.668   	0.120000	114.668   	0.120000	101.642   	0.120000	101.642   	0.120000	101.644   	0.120000	0.568267  	0.120000	0.554412  	0.120000	5.4809    	0.120000	8.72236   	0.120000	5.50668   	
0.140000	124.657   	0.140000	124.657   	0.140000	111.864   	0.140000	111.864   	0.140000	111.866   	0.140000	0.598908  	0.140000	0.581295  	0.140000	5.75302   	0.140000	9.10175   	0.140000	5.75924   	
0.160000	134.237   	0.160000	134.237   	0.160000	121.829   	0.160000	121.829   	0.160000	121.831   	0.160000	0.628441  	0.160000	0.606943  	0.160000	5.99572   	0.160000	9.43545   	0.160000	5.98827   	
0.180000	143.576   	0.180000	143.576   	0.180000	131.658   	0.180000	131.658   	0.180000	131.66    	0.180000	0.657614  	0.180000	0.632073  	0.180000	6.22035   	0.180000	9.73956   	0.180000	6.20466   	
0.200000	152.778   	0.200000	152.778   	0.200000	141.437   	0.200000	141.437   	0.200000	141.439   	0.200000	0.686926  	0.200000	0.657149  	0.200000	6.43082   	0.200000	10.0211   	0.200000	6.4081    	
0.250000	175.618   	0.250000	175.618   	0.250000	166.017   	0.250000	166.017   	0.250000	166.019   	0.250000	0.762832  	0.250000	0.72145   	0.250000	6.92202   	0.250000	10.6689   	0.250000	6.89344   	
0.300000	198.391   	0.300000	198.391   	0.300000	191.136   	0.300000	191.136   	0.300000	191.138   	0.300000	0.844167  	0.300000	0.78957   	0.300000	7.38406   	0.300000	11.2686   	0.300000	7.3589    	
0.350000	221.415   	0.350000	221.415   	0.350000	216.927   	0.350000	216.927   	0.350000	216.929   	0.350000	0.930918  	0.350000	0.861626  	0.350000	7.82789   	0.350000	11.8396   	0.350000	7.81304   	
0.400000	244.96    	0.400000	244.96    	0.400000	243.592   	0.400000	243.592   	0.400000	243.594   	0.400000	1.02425   	0.400000	0.938563  	0.400000	8.26523   	0.400000	12.3973   	0.400000	8.26665   	
0.450000	269.227   	0.450000	269.227   	0.450000	271.28    	0.450000	271.28    	0.450000	271.282   	0.450000	1.1251    	0.450000	1.02107   	0.450000	8.70128   	0.450000	12.9501   	0.450000	8.72163   	
0.500000	294.323   	0.500000	294.323   	0.500000	300.061   	0.500000	300.061   	0.500000	300.063   	0.500000	1.2337    	0.500000	1.10928   	0.500000	9.14074   	0.500000	13.5039   	0.500000	9.18558   	
0.600000	347.051   	0.600000	347.051   	0.600000	360.949   	0.600000	360.949   	0.600000	360.951   	0.600000	1.47324   	0.600000	1.30372   	0.600000	10.0135   	0.600000	14.6203   	0.600000	10.1314   	
0.700000	403.671   	0.700000	403.671   	0.700000	426.24    	0.700000	426.24    	0.700000	426.242   	0.700000	1.74043   	0.700000	1.52853   	0.700000	10.8469   	0.700000	15.7593   	0.700000	11.109    	
0.800000	463.993   	0.800000	463.993   	0.800000	495.831   	0.800000	495.831   	0.800000	495.833   	0.800000	2.03281   	0.800000	1.77831   	0.800000	11.7091   	0.800000	16.9276   	0.800000	12.1273   	
0.900000	527.689   	0.900000	527.689   	0.900000	569.61    	0.900000	569.61    	0.900000	569.612   	0.900000	2.34842   	0.900000	2.04807   	0.900000	12.5937   	0.900000	18.1206   	0.900000	13.065    	
1.000000	595.206   	1.000000	595.206   	1.000000	647.574   	1.000000	647.574   	1.000000	647.576   	1.000000	2.68698   	1.000000	2.33555   	1.000000	13.5099   	1.000000	19.3456   	1.000000	13.7138   	
1.250000	781.85    	1.250000	781.85    	1.250000	860.661   	1.250000	860.661   	1.250000	860.662   	1.250000	3.63165   	1.250000	3.12262   	1.250000	15.9277   	1.250000	22.4215   	1.250000	15.4957   	
1.500000	998.783   	1.500000	998.783   	1.500000	1098.59   	1.500000	1098.59   	1.500000	1098.59   	1.500000	4.70413   	1.500000	3.98977   	1.500000	18.4644   	1.500000	25.4866   	1.500000	17.4917   	
1.750000	1248.14   	1.750000	1248.14   	1.750000	1360.76   	1.750000	1360.76   	1.750000	1360.76   	1.750000	5.90074   	1.750000	4.9297    	1.750000	20.6906   	1.750000	28.1824   	1.750000	19.6928   	
2.000000	1527.34   	2.000000	1527.34   	2.000000	1646.97   	2.000000	1646.97   	2.000000	1646.97   	2.000000	7.22263   	2.000000	5.94105   	2.000000	23.1034   	2.000000	31.0987   	2.000000	22.0959   	
2.250000	1834.64   	2.250000	1834.64   	2.250000	1957.24   	2.250000	1957.24   	2.250000	1957.24   	2.250000	8.67332   	2.250000	7.02511   	2.250000	25.7187   	2.250000	34.2483   	2.250000	24.701    	
2.500000	2169.33   	2.500000	2168.87   	2.500000	2291.69   	2.500000	2291.69   	2.500000	2291.69   	2.500000	10.2564   	2.500000	8.18347   	2.500000	28.5364   	2.500000	37.6271   	2.500000	27.509    	
3.000000	2943.01   	3.000000	2914.69   	3.000000	3033.37   	3.000000	3033.37   	3.000000	3033.37   	3.000000	13.8299   	3.000000	10.7275   	3.000000	34.7806   	3.000000	45.0607   	3.000000	33.7377   	
3.500000	3818.19   	3.500000	3760.1    	3.500000	3872.21   	3.500000	3872.21   	3.500000	3872.21   	3.500000	17.9568   	3.500000	13.5783   	3.500000	41.8361   	3.500000	53.3799   	3.500000	40.7864   	
4.000000	4793.02   	4.000000	4702.43   	4.000000	4807.95   	4.000000	4807.95   	4.000000	4807.95   	4.000000	22.6422   	4.000000	16.735    	4.000000	49.7015   	4.000000	62.5685   	4.000000	48.6559   	
4.500000	5865.89   	4.500000	5739.92   	4.500000	5839.98   	4.500000	5839.98   	4.500000	5839.97   	4.500000	27.886    	4.500000	20.192    	4.500000	58.3726   	4.500000	72.6106   	4.500000	57.344    	
5.000000	7035.35   	5.000000	6871.14   	5.000000	6967.46   	5.000000	6967.46   	5.000000	6967.45   	5.000000	33.6847   	5.000000	23.943    	5.000000	67.844    	5.000000	83.4909   	5.000000	66.8462   	
5.500000	8300.09   	5.500000	8094.76   	5.500000	8189.46   	5.500000	8189.46   	5.500000	8189.45   	5.500000	40.0335   	5.500000	27.982    	5.500000	78.1076   	5.500000	95.1928   	5.500000	77.1554   	
6.000000	9658.9    	6.000000	9409.53   	6.000000	9505      	6.000000	9505      	6.000000	9505      	6.000000	46.9268   	6.000000	32.303    	6.000000	89.1572   	6.000000	107.703   	6.000000	88.2663   	
6.500000	11110.7   	6.500000	10814.4   	6.500000	10913.1   	6.500000	10913.1   	6.500000	10913.1   	6.500000	54.359    	6.500000	36.9001   	6.500000	100.985   	6.500000	121.006   	6.500000	100.171   	
7.000000	12654.4   	7.000000	12308.2   	7.000000	12412.9   	7.000000	12412.9   	7.000000	12412.9   	7.000000	62.3248   	7.000000	41.7681   	7.000000	113.583   	7.000000	135.091   	7.000000	112.863   	
7.500000	14289.1   	7.500000	13890.2   	7.500000	14003.4   	7.500000	14003.4   	7.500000	14003.4   	7.500000	70.8189   	7.500000	46.9024   	7.500000	126.946   	7.500000	149.945   	7.500000	126.337   	
8.000000	16013.9   	8.000000	15559.3   	8.000000	15683.8   	8.000000	15683.8   	8.000000	15683.8   	8.000000	79.837    	8.000000	52.2984   	8.000000	141.066   	8.000000	165.557   	8.000000	140.585   	
8.500000	17828     	8.500000	17314.8   	8.500000	17453.3   	8.500000	17453.3   	8.500000	17453.3   	8.500000	89.3746   	8.500000	57.951    	8.500000	155.938   	8.500000	181.917   	8.500000	155.603   	
9.000000	19730.4   	9.000000	19155.9   	9.000000	19311.2   	9.000000	19311.2   	9.000000	19311.2   	9.000000	99.4281   	9.000000	63.8557   	9.000000	171.556   	9.000000	199.015   	9.000000	171.384   	
9.500000	21720.6   	9.500000	21081.8   	9.500000	21256.8   	9.500000	21256.8   	9.500000	21256.8   	9.500000	109.994   	9.500000	70.0098   	9.500000	187.914   	9.500000	216.844   	9.500000	187.924   	
10.000000	23797.8   	10.000000	23092.4   	10.000000	23289.4   	10.000000	23289.4   	10.000000	23289.4   	10.000000	121.069   	10.000000	76.4118   	10.000000	205.009   	10.000000	235.394   	10.000000	205.219   	
11.000000	28210.3   	11.000000	27392.6   	11.000000	27615.8   	11.000000	27615.4   	11.000000	27615.8   	11.000000	144.778   	11.000000	89.9764   	11.000000	241.414   	11.000000	274.66    	11.000000	242.081   	
12.000000	32962.8   	12.000000	32030.4   	12.000000	32288.5   	12.000000	32287.2   	12.000000	32288.8   	12.000000	170.565   	12.000000	104.551   	12.000000	280.767   	12.000000	316.787   	12.000000	281.967   	
13.000000	38050.6   	13.000000	37001.6   	13.000000	37303.2   	13.000000	37300.3   	13.000000	37303.8   	13.000000	198.403   	13.000000	120.105   	13.000000	323.037   	13.000000	361.727   	13.000000	324.849   	
14.000000	43469.1   	14.000000	42302.2   	14.000000	42655.8   	14.000000	42650.8   	14.000000	42656.9   	14.000000	228.262   	14.000000	136.615   	14.000000	368.194   	14.000000	409.434   	14.000000	370.698   	
15.000000	49214.4   	15.000000	47928.5   	15.000000	48342.3   	15.000000	48335     	15.000000	48344.3   	15.000000	260.12    	15.000000	154.069   	15.000000	416.211   	15.000000	459.867   	15.000000	419.488   	
16.000000	55282.5   	16.000000	53877.1   	16.000000	54359.1   	16.000000	54349.1   	16.000000	54362.1   	16.000000	293.95    	16.000000	172.452   	16.000000	467.058   	16.000000	512.983   	16.000000	471.192   	
17.000000	61669.7   	17.000000	60144.6   	17.000000	60702.4   	17.000000	60689.6   	17.000000	60706.9   	17.000000	329.729   	17.000000	191.739   	17.000000	520.708   	17.000000	568.746   	17.000000	525.784   	
18.000000	68372.5   	18.000000	66727.9   	18.000000	67368.8   	18.000000	67352.9   	18.000000	67374.9   	18.000000	367.43    	18.000000	211.91    	18.000000	577.133   	18.000000	627.116   	18.000000	583.237   	
19.000000	75387.7   	19.000000	73624.1   	19.000000	74354.6   	19.000000	74335.6   	19.000000	74362.7   	19.000000	407.028   	19.000000	232.951   	19.000000	636.304   	19.000000	688.054   	19.000000	643.522   	
20.000000	82712     	20.000000	80830.3   	20.000000	81656.2   	20.000000	81634.2   	20.000000	81666.6   	20.000000	448.495   	20.000000	254.846   	20.000000	698.189   	20.000000	751.524   	20.000000	706.612   	
21.000000	90342.5   	21.000000	88343.7   	21.000000	89270.4   	21.000000	89245.1   	21.000000	89283.2   	21.000000	491.804   	21.000000	277.577   	21.000000	762.76    	21.000000	817.489   	21.000000	772.477   	
22.000000	98276.2   	22.000000	96161.8   	22.000000	97193.4   	22.000000	97164.8   	22.000000	97208.8   	22.000000	536.925   	22.000000	301.127   	22.000000	829.984   	22.000000	885.908   	22.000000	841.087   	
23.000000	106510    	23.000000	104282    	23.000000	105421    	23.000000	105390    	23.000000	105440    	23.000000	583.827   	23.000000	325.48    	23.000000	899.83    	23.000000	956.747   	23.000000	912.41    	
24.000000	115042    	24.000000	112702    	24.000000	113950    	24.000000	113916    	24.000000	113973    	24.000000	632.48    	24.000000	350.618   	24.000000	972.263   	24.000000	1029.96   	24.000000	986.415   	
25.000000	123870    	25.000000	121419    	25.000000	122777    	25.000000	122741    	25.000000	122803    	25.000000	682.849   	25.000000	376.522   	25.000000	1047.25   	25.000000	1105.52   	25.000000	1063.07   	
27.000000	142400    	27.000000	139736    	27.000000	141309    	27.000000	141269    	27.000000	141344    	27.000000	788.602   	27.000000	430.561   	27.000000	1204.74   	27.000000	1263.51   	27.000000	1224.18   	
29.000000	162082    	29.000000	159216    	29.000000	160986    	29.000000	160943    	29.000000	161030    	29.000000	900.799   	29.000000	487.441   	29.000000	1372      	29.000000	1430.39   	29.000000	1395.46   	
31.000000	182899    	31.000000	179843    	31.000000	181780    	31.000000	181737    	31.000000	181835    	31.000000	1019.2    	31.000000	546.999   	31.000000	1548.76   	31.000000	1605.88   	31.000000	1576.63   	
33.000000	204833    	33.000000	201600    	33.000000	203688    	33.000000	203646    	33.000000	203754    	33.000000	1143.94   	33.000000	609.342   	33.000000	1734.99   	33.000000	1789.91   	33.000000	1767.7    	
35.000000	227868    	35.000000	224472    	35.000000	226698    	35.000000	226660    	35.000000	226775    	35.000000	1275      	35.000000	674.445   	35.000000	1930.59   	35.000000	1982.38   	35.000000	1968.56   	
38.000000	264453    	38.000000	260841    	38.000000	263248    	38.000000	263221    	38.000000	263342    	38.000000	1483.22   	38.000000	777.152   	38.000000	2241.27   	38.000000	2286.57   	38.000000	2287.95   	
41.000000	303434    	41.000000	299643    	41.000000	302199    	41.000000	302190    	41.000000	302313    	41.000000	1705.15   	41.000000	885.86    	41.000000	2572.31   	41.000000	2608.96   	41.000000	2628.72   	
44.000000	344766    	44.000000	340832    	44.000000	343509    	44.000000	343524    	44.000000	343645    	44.000000	1940.52   	44.000000	1000.35   	44.000000	2923.31   	44.000000	2949.14   	44.000000	2990.51   	
47.000000	388406    	47.000000	384369    	47.000000	387137    	47.000000	387184    	47.000000	387297    	47.000000	2189.03   	47.000000	1120.5    	47.000000	3293.9    	47.000000	3306.73   	47.000000	3372.99   	
50.000000	434315    	50.000000	430214    	50.000000	433047    	50.000000	433131    	50.000000	433232    	50.000000	2450.43   	50.000000	1246.21   	50.000000	3683.72   	50.000000	3681.37   	50.000000	3775.84   	
55.000000	515770    	55.000000	511649    	55.000000	514541    	55.000000	514693    	55.000000	514765    	55.000000	2914.02   	55.000000	1467.74   	55.000000	4375.24   	55.000000	4342.75   	55.000000	4491.7    	
60.000000	603258    	60.000000	599225    	60.000000	602109    	60.000000	602351    	60.000000	602381    	60.000000	3411.52   	60.000000	1703.9    	60.000000	5117.73   	60.000000	5049.12   	60.000000	5261.95   	
65.000000	696629    	65.000000	692789    	65.000000	695614    	65.000000	695956    	65.000000	695931    	65.000000	3941.81   	65.000000	1954.02   	65.000000	5909.77   	65.000000	5799.14   	65.000000	6085.32   	
70.000000	795741    	70.000000	792195    	70.000000	794908    	70.000000	795368    	70.000000	795276    	70.000000	4503.83   	70.000000	2217.8    	70.000000	6750.02   	70.000000	6591.57   	70.000000	6960.64   	
75.000000	900463    	75.000000	897304    	75.000000	899860    	75.000000	900457    	75.000000	900284    	75.000000	5096.57   	75.000000	2494.72   	75.000000	7637.17   	75.000000	7425.25   	75.000000	7886.77   	
80.000000	1.01067e+06	80.000000	1.00799e+06	80.000000	1.01035e+06	80.000000	1.0111e+06	80.000000	1.01083e+06	80.000000	5719.05   	80.000000	2784.53   	80.000000	8570.03   	80.000000	8299.1    	80.000000	8862.62   	
85.000000	1.12625e+06	85.000000	1.12411e+06	85.000000	1.12626e+06	85.000000	1.12717e+06	85.000000	1.1268e+06	85.000000	6370.35   	85.000000	3086.63   	85.000000	9547.41   	85.000000	9212.08   	85.000000	9887.18   	
90.000000	1.2471e+06	90.000000	1.24557e+06	90.000000	1.24747e+06	90.000000	1.24856e+06	90.000000	1.24807e+06	90.000000	7049.56   	90.000000	3400.73   	90.000000	10568.2   	90.000000	10163.2   	90.000000	10959.5   	
95.000000	1.3731e+06	95.000000	1.37224e+06	95.000000	1.37388e+06	95.000000	1.37515e+06	95.000000	1.37454e+06	95.000000	7755.82   	95.000000	3726.51   	95.000000	11631.3   	95.000000	11151.6   	95.000000	12078.5   	
100.000000	1.50416e+06	100.000000	1.50402e+06	100.000000	1.50537e+06	100.000000	1.50685e+06	100.000000	1.5061e+06	100.000000	8488.29   	100.000000	4063.68   	100.000000	12735.6   	100.000000	12176.3   	100.000000	13243.3   	
105.000000	1.64018e+06	105.000000	1.64079e+06	105.000000	1.64185e+06	105.000000	1.64356e+06	105.000000	1.64265e+06	105.000000	9246.17   	105.000000	4411.94   	105.000000	13880.2   	105.000000	13236.6   	105.000000	14453.1   	
110.000000	1.78109e+06	110.000000	1.78246e+06	110.000000	1.78323e+06	110.000000	1.78517e+06	110.000000	1.78409e+06	110.000000	10028.7   	110.000000	4771.07   	110.000000	15064     	110.000000	14331.5   	110.000000	15706.9   	
115.000000	1.92678e+06	115.000000	1.92893e+06	115.000000	1.9294e+06	115.000000	1.93159e+06	115.000000	1.93033e+06	115.000000	10835.1   	115.000000	5140.67   	115.000000	16286.2   	115.000000	15460.3   	115.000000	17004     	
120.000000	2.07718e+06	120.000000	2.0801e+06	120.000000	2.08028e+06	120.000000	2.08273e+06	120.000000	2.08128e+06	120.000000	11664.7   	120.000000	5520.28   	120.000000	17545.7   	120.000000	16622.3   	120.000000	18343.6   	
125.000000	2.23221e+06	125.000000	2.23589e+06	125.000000	2.23577e+06	125.000000	2.2385e+06	125.000000	2.23685e+06	125.000000	12516.7   	125.000000	5909.96   	125.000000	18841.8   	125.000000	17816.7   	125.000000	19724.7   	
130.000000	2.39179e+06	130.000000	2.39621e+06	130.000000	2.39579e+06	130.000000	2.39881e+06	130.000000	2.39695e+06	130.000000	13390.5   	130.000000	6309.29   	130.000000	20173.6   	130.000000	19042.8   	130.000000	21146.7   	
135.000000	2.55586e+06	135.000000	2.56096e+06	135.000000	2.56027e+06	135.000000	2.5636e+06	135.000000	2.5615e+06	135.000000	14285.4   	135.000000	6717.88   	135.000000	21540.1   	135.000000	20300     	135.000000	22608.9   	
140.000000	2.72434e+06	140.000000	2.73007e+06	140.000000	2.72913e+06	140.000000	2.73276e+06	140.000000	2.73043e+06	140.000000	15200.8   	140.000000	7135.59   	140.000000	22940.7   	140.000000	21587.5   	140.000000	24110.4   	
145.000000	2.89717e+06	145.000000	2.90346e+06	145.000000	2.90227e+06	145.000000	2.90623e+06	145.000000	2.90365e+06	145.000000	16136.1   	145.000000	7562.2    	145.000000	24374.4   	145.000000	22904.9   	145.000000	25650.6   	
150.000000	3.07427e+06	150.000000	3.08105e+06	150.000000	3.07963e+06	150.000000	3.08393e+06	150.000000	3.08109e+06	150.000000	17090.6   	150.000000	7997.52   	150.000000	25840.6   	150.000000	24251.4   	150.000000	27228.8   	
155.000000	3.31764e+06	155.000000	3.26277e+06	155.000000	3.26113e+06	155.000000	3.26578e+06	155.000000	3.26267e+06	155.000000	18063.9   	155.000000	8441.37   	155.000000	27338.5   	155.000000	25626.5   	155.000000	28844.4   	
160.000000	3.56842e+06	160.000000	3.44853e+06	160.000000	3.4467e+06	160.000000	3.45172e+06	160.000000	3.44832e+06	160.000000	19055.3   	160.000000	8893.55   	160.000000	28867.3   	160.000000	27029.5   	160.000000	30496.5   	
165.000000	3.82438e+06	165.000000	3.63828e+06	165.000000	3.63626e+06	165.000000	3.64167e+06	165.000000	3.63798e+06	165.000000	20064.2   	165.000000	9353.9    	165.000000	30426.4   	165.000000	28460     	165.000000	32184.8   	
170.000000	4.08545e+06	170.000000	3.83194e+06	170.000000	3.82977e+06	170.000000	3.83556e+06	170.000000	3.83156e+06	170.000000	21090.3   	170.000000	9822.24   	170.000000	32015.1   	170.000000	29917.4   	170.000000	33908.3   	
175.000000	4.35153e+06	175.000000	4.02944e+06	175.000000	4.02713e+06	175.000000	4.03334e+06	175.000000	4.02902e+06	175.000000	22132.8   	175.000000	10298.4   	175.000000	33632.6   	175.000000	31401     	175.000000	35666.7   	
180.000000	4.62254e+06	180.000000	4.23072e+06	180.000000	4.22829e+06	180.000000	4.23492e+06	180.000000	4.23027e+06	180.000000	23191.5   	180.000000	10782.3   	180.000000	35278.4   	180.000000	32910.6   	180.000000	37459.2   	
185.000000	4.8984e+06	185.000000	4.43571e+06	185.000000	4.43319e+06	185.000000	4.44026e+06	185.000000	4.43527e+06	185.000000	24265.6   	185.000000	11273.6   	185.000000	36951.7   	185.000000	34445.4   	185.000000	39285.3   	
190.000000	5.17902e+06	190.000000	4.64436e+06	190.000000	4.64177e+06	190.000000	4.64928e+06	190.000000	4.64394e+06	190.000000	25354.9   	190.000000	11772.1   	190.000000	38652.1   	190.000000	36005.1   	190.000000	41144.4   	
195.000000	5.46434e+06	195.000000	4.85659e+06	195.000000	4.85398e+06	195.000000	4.86193e+06	195.000000	4.85623e+06	195.000000	26458.8   	195.000000	12277.5   	195.000000	40378.8   	195.000000	37589.1   	195.000000	43036     	
200.000000	5.75427e+06	200.000000	5.07236e+06	200.000000	5.06973e+06	200.000000	5.07815e+06	200.000000	5.07207e+06	200.000000	27576.9   	200.000000	12789.9   	200.000000	42131.2   	200.000000	39197     	200.000000	44959.4   	
210.000000	6.3477e+06	210.000000	5.51426e+06	210.000000	5.51166e+06	210.000000	5.52105e+06	210.000000	5.51421e+06	210.000000	29853.9   	210.000000	13835.1   	210.000000	45711.1   	210.000000	42482.7   	210.000000	48899.8   	
220.000000	6.95872e+06	220.000000	5.96962e+06	220.000000	5.96715e+06	220.000000	5.97756e+06	220.000000	5.96989e+06	220.000000	32182.7   	220.000000	14905.8   	220.000000	49387.3   	220.000000	45858.6   	220.000000	52961.4   	
230.000000	7.58683e+06	230.000000	6.43801e+06	230.000000	6.43574e+06	230.000000	6.44723e+06	230.000000	6.4387e+06	230.000000	34560.1   	230.000000	16000.8   	230.000000	53155.5   	230.000000	49321.4   	230.000000	57140.2   	
