! 9Li range in H180C10F40
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	431.649   	0.001000	431.649   	0.001000	335.85    	0.001000	335.85    	0.001000	335.924   	0.001000	0         	0.001000	0         	0.001000	8.14127   	0.001000	16.1721   	0.001000	8.70959   	
0.002000	863.298   	0.002000	863.298   	0.002000	671.7     	0.002000	671.7     	0.002000	671.848   	0.002000	37.0337   	0.002000	37.0337   	0.002000	23.8431   	0.002000	45.7688   	0.002000	26.5937   	
0.005000	1982.79   	0.005000	1982.79   	0.005000	1517.75   	0.005000	1517.75   	0.005000	1517.97   	0.005000	44.4359   	0.005000	44.4359   	0.005000	85.8274   	0.005000	159.039   	0.005000	99.4494   	
0.008000	2887.99   	0.008000	2887.99   	0.008000	2203.78   	0.008000	2203.78   	0.008000	2204.03   	0.008000	44.6764   	0.008000	44.6764   	0.008000	152.888   	0.008000	279.329   	0.008000	179.701   	
0.010000	3412.63   	0.010000	3412.63   	0.010000	2605.48   	0.010000	2605.48   	0.010000	2605.74   	0.010000	45.4372   	0.010000	45.4372   	0.010000	197.555   	0.010000	358.759   	0.010000	233.6     	
0.015000	4541.94   	0.015000	4541.94   	0.015000	3488.11   	0.015000	3488.11   	0.015000	3488.37   	0.015000	48.8185   	0.015000	48.8185   	0.015000	300.326   	0.015000	535.315   	0.015000	365.769   	
0.020000	5491.73   	0.020000	5491.73   	0.020000	4264.47   	0.020000	4264.47   	0.020000	4264.74   	0.020000	52.7298   	0.020000	52.7298   	0.020000	388.247   	0.020000	671.81    	0.020000	480.141   	
0.025000	6303.36   	0.025000	6303.36   	0.025000	4963.6    	0.025000	4963.6    	0.025000	4963.88   	0.025000	56.1707   	0.025000	56.1707   	0.025000	465.627   	0.025000	782.547   	0.025000	554.692   	
0.030000	7013.34   	0.030000	7013.34   	0.030000	5601.29   	0.030000	5601.29   	0.030000	5601.57   	0.030000	59.0435   	0.030000	59.0435   	0.030000	533.454   	0.030000	875.216   	0.030000	608.652   	
0.035000	7653.03   	0.035000	7653.03   	0.035000	6189.83   	0.035000	6189.83   	0.035000	6190.12   	0.035000	61.5064   	0.035000	61.5064   	0.035000	586.147   	0.035000	946.555   	0.035000	650.211   	
0.040000	8241.5    	0.040000	8241.5    	0.040000	6738.62   	0.040000	6738.62   	0.040000	6738.91   	0.040000	63.672    	0.040000	63.672    	0.040000	627.519   	0.040000	1002.71   	0.040000	683.74    	
0.045000	8790.23   	0.045000	8790.23   	0.045000	7254.66   	0.045000	7254.66   	0.045000	7254.94   	0.045000	65.6071   	0.045000	65.6071   	0.045000	661.673   	0.045000	1049.28   	0.045000	712.395   	
0.050000	9306.75   	0.050000	9306.75   	0.050000	7743.32   	0.050000	7743.32   	0.050000	7743.6    	0.050000	67.3561   	0.050000	67.2883   	0.050000	690.645   	0.050000	1088.91   	0.050000	736.759   	
0.055000	9796.12   	0.055000	9796.12   	0.055000	8208.86   	0.055000	8208.86   	0.055000	8209.14   	0.055000	68.948    	0.055000	68.7657   	0.055000	715.921   	0.055000	1123.58   	0.055000	758.341   	
0.060000	10262.1   	0.060000	10262.1   	0.060000	8654.68   	0.060000	8654.68   	0.060000	8654.97   	0.060000	70.4056   	0.060000	70.1061   	0.060000	738.175   	0.060000	1154.17   	0.060000	777.585   	
0.070000	11136.6   	0.070000	11136.6   	0.070000	9497.81   	0.070000	9497.81   	0.070000	9498.1    	0.070000	72.9986   	0.070000	72.4711   	0.070000	775.77    	0.070000	1205.95   	0.070000	810.6     	
0.080000	11950.2   	0.080000	11950.2   	0.080000	10289.8   	0.080000	10289.8   	0.080000	10290.1   	0.080000	75.2643   	0.080000	74.5268   	0.080000	806.92    	0.080000	1248.84   	0.080000	838.507   	
0.090000	12717.2   	0.090000	12717.2   	0.090000	11042.7   	0.090000	11042.7   	0.090000	11043     	0.090000	77.2932   	0.090000	76.3645   	0.090000	834.117   	0.090000	1285.96   	0.090000	863.018   	
0.100000	13448.1   	0.100000	13448.1   	0.100000	11765.6   	0.100000	11765.6   	0.100000	11765.9   	0.100000	79.1501   	0.100000	78.0304   	0.100000	857.514   	0.100000	1317.93   	0.100000	884.705   	
