 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 16, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/10Li_900mb_CF4_90-10.txt

 Ion = Lithium [3] , Mass = 10.03548 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9946E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.508E-03  1.143E-02  347.56 um   123.19 um    92.36 um  
  11.00 keV   9.972E-03  1.091E-02  386.50 um   134.27 um   101.90 um  
  12.00 keV   1.042E-02  1.045E-02  425.73 um   145.10 um   111.42 um  
  13.00 keV   1.084E-02  1.002E-02  465.20 um   155.66 um   120.89 um  
  14.00 keV   1.125E-02  9.641E-03  504.84 um   165.97 um   130.31 um  
  15.00 keV   1.165E-02  9.291E-03  544.61 um   176.02 um   139.67 um  
  16.00 keV   1.203E-02  8.970E-03  584.45 um   185.82 um   148.94 um  
  17.00 keV   1.240E-02  8.674E-03  624.35 um   195.37 um   158.13 um  
  18.00 keV   1.276E-02  8.400E-03  664.25 um   204.69 um   167.23 um  
  20.00 keV   1.345E-02  7.909E-03  744.03 um   222.68 um   185.14 um  
  22.50 keV   1.429E-02  7.382E-03  843.35 um   243.96 um   206.95 um  
  25.00 keV   1.510E-02  6.931E-03  941.90 um   263.93 um   228.05 um  
  27.50 keV   1.588E-02  6.539E-03    1.04 mm   282.68 um   248.42 um  
  30.00 keV   1.664E-02  6.196E-03    1.14 mm   300.32 um   268.08 um  
  32.50 keV   1.736E-02  5.891E-03    1.23 mm   316.93 um   287.03 um  
