 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 17, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/11Li_100mb_CF4.txt

 Ion = Lithium [3] , Mass = 11.0438 amu

 Target Density =  3.5640E-04 g/cm3 = 1.2194E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.390E-03  7.895E-03  476.32 um   213.77 um   158.23 um  
  11.00 keV   6.702E-03  7.590E-03  528.33 um   231.96 um   173.36 um  
  12.00 keV   7.000E-03  7.311E-03  580.77 um   249.73 um   188.42 um  
  13.00 keV   7.286E-03  7.055E-03  633.57 um   267.11 um   203.41 um  
  14.00 keV   7.561E-03  6.819E-03  686.66 um   284.08 um   218.30 um  
  15.00 keV   7.826E-03  6.601E-03  739.98 um   300.67 um   233.09 um  
  16.00 keV   8.083E-03  6.399E-03  793.48 um   316.88 um   247.76 um  
  17.00 keV   8.332E-03  6.211E-03  847.11 um   332.73 um   262.30 um  
  18.00 keV   8.573E-03  6.036E-03  900.84 um   348.21 um   276.71 um  
  20.00 keV   9.037E-03  5.718E-03    1.01 mm   378.13 um   305.16 um  
  22.50 keV   9.582E-03  5.372E-03    1.14 mm   413.72 um   339.90 um  
  25.00 keV   1.008E-02  5.072E-03    1.28 mm   447.47 um   373.67 um  
  27.50 keV   1.055E-02  4.808E-03    1.41 mm   479.55 um   406.48 um  
  30.00 keV   1.101E-02  4.575E-03    1.54 mm   510.04 um   438.36 um  
  32.50 keV   1.145E-02  4.366E-03    1.68 mm   539.05 um   469.31 um  
