 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 16, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/11Li_70mb_CF4.txt

 Ion = Lithium [3] , Mass = 11.0438 amu

 Target Density =  2.4948E-04 g/cm3 = 8.5359E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.473E-03  5.527E-03  680.46 um   305.39 um   226.05 um  
  11.00 keV   4.692E-03  5.313E-03  754.76 um   331.37 um   247.65 um  
  12.00 keV   4.900E-03  5.117E-03  829.68 um   356.76 um   269.17 um  
  13.00 keV   5.100E-03  4.938E-03  905.11 um   381.58 um   290.58 um  
  14.00 keV   5.293E-03  4.773E-03  980.95 um   405.83 um   311.86 um  
  15.00 keV   5.479E-03  4.621E-03    1.06 mm   429.53 um   332.98 um  
  16.00 keV   5.658E-03  4.479E-03    1.13 mm   452.69 um   353.94 um  
  17.00 keV   5.832E-03  4.348E-03    1.21 mm   475.33 um   374.71 um  
  18.00 keV   6.001E-03  4.225E-03    1.29 mm   497.45 um   395.30 um  
  20.00 keV   6.326E-03  4.003E-03    1.44 mm   540.18 um   435.94 um  
  22.50 keV   6.707E-03  3.761E-03    1.63 mm   591.02 um   485.57 um  
  25.00 keV   7.055E-03  3.550E-03    1.82 mm   639.25 um   533.82 um  
  27.50 keV   7.387E-03  3.366E-03    2.02 mm   685.07 um   580.69 um  
  30.00 keV   7.705E-03  3.202E-03    2.21 mm   728.62 um   626.22 um  
  32.50 keV   8.012E-03  3.056E-03    2.40 mm   770.07 um   670.44 um  
