 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 20, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/12Li_700mb_CF4_90-10.txt

 Ion = Lithium [3] , Mass = 12.05378 amu

 Target Density =  3.4850E-04 g/cm3 = 3.8846E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.748E-03  1.013E-02  434.70 um   148.05 um   107.83 um  
  11.00 keV   7.077E-03  9.687E-03  483.97 um   161.79 um   119.19 um  
  12.00 keV   7.392E-03  9.286E-03  533.78 um   175.28 um   130.59 um  
  13.00 keV   7.694E-03  8.922E-03  584.05 um   188.51 um   142.01 um  
  14.00 keV   7.984E-03  8.591E-03  634.68 um   201.48 um   153.43 um  
  15.00 keV   8.264E-03  8.287E-03  685.61 um   214.19 um   164.82 um  
  16.00 keV   8.535E-03  8.008E-03  736.78 um   226.64 um   176.18 um  
  17.00 keV   8.798E-03  7.751E-03  788.14 um   238.83 um   187.49 um  
  18.00 keV   9.053E-03  7.512E-03  839.65 um   250.77 um   198.74 um  
  20.00 keV   9.543E-03  7.083E-03  942.98 um   273.99 um   221.05 um  
  22.50 keV   1.012E-02  6.621E-03    1.07 mm   301.71 um   248.48 um  
  25.00 keV   1.068E-02  6.225E-03    1.20 mm   328.00 um   275.28 um  
  27.50 keV   1.122E-02  5.880E-03    1.33 mm   352.91 um   301.43 um  
  30.00 keV   1.174E-02  5.576E-03    1.46 mm   376.53 um   326.87 um  
  32.50 keV   1.225E-02  5.307E-03    1.58 mm   398.94 um   351.59 um  
