 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 23, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/Actar tracks simulation/SRIM/12Li_900mb_CF4_90-10.txt

 Ion = Lithium [3] , Mass = 12.05378 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9946E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.676E-03  1.303E-02  338.09 um   115.15 um    83.87 um  
  11.00 keV   9.099E-03  1.246E-02  376.42 um   125.83 um    92.70 um  
  12.00 keV   9.504E-03  1.194E-02  415.16 um   136.32 um   101.57 um  
  13.00 keV   9.892E-03  1.147E-02  454.25 um   146.61 um   110.45 um  
  14.00 keV   1.027E-02  1.105E-02  493.63 um   156.70 um   119.33 um  
  15.00 keV   1.063E-02  1.066E-02  533.24 um   166.59 um   128.19 um  
  16.00 keV   1.097E-02  1.030E-02  573.04 um   176.27 um   137.03 um  
  17.00 keV   1.131E-02  9.966E-03  612.99 um   185.75 um   145.82 um  
  18.00 keV   1.164E-02  9.659E-03  653.05 um   195.04 um   154.57 um  
  20.00 keV   1.227E-02  9.107E-03  733.41 um   213.10 um   171.93 um  
  22.50 keV   1.301E-02  8.514E-03  834.03 um   234.66 um   193.26 um  
  25.00 keV   1.373E-02  8.004E-03  934.49 um   255.10 um   214.11 um  
  27.50 keV   1.442E-02  7.560E-03    1.03 mm   274.48 um   234.44 um  
  30.00 keV   1.510E-02  7.170E-03    1.13 mm   292.85 um   254.22 um  
  32.50 keV   1.575E-02  6.824E-03    1.23 mm   310.28 um   273.45 um  
