 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/12Li_silicon.txt

 Ion = Lithium [3] , Mass = 12.05378 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.802E+01  4.627E+01     698 A       374 A       281 A   
  11.00 keV   5.037E+01  4.483E+01     769 A       403 A       304 A   
  12.00 keV   5.261E+01  4.349E+01     840 A       432 A       328 A   
  13.00 keV   5.476E+01  4.224E+01     912 A       459 A       351 A   
  14.00 keV   5.682E+01  4.107E+01     983 A       486 A       374 A   
  15.00 keV   5.882E+01  3.998E+01    1055 A       513 A       397 A   
  16.00 keV   6.075E+01  3.895E+01    1127 A       538 A       419 A   
  17.00 keV   6.262E+01  3.797E+01    1199 A       563 A       441 A   
  18.00 keV   6.443E+01  3.706E+01    1270 A       588 A       463 A   
  20.00 keV   6.792E+01  3.538E+01    1414 A       635 A       506 A   
  22.50 keV   7.204E+01  3.351E+01    1592 A       690 A       557 A   
  25.00 keV   7.602E+01  3.186E+01    1770 A       742 A       608 A   
  27.50 keV   7.993E+01  3.039E+01    1946 A       792 A       656 A   
  30.00 keV   8.362E+01  2.908E+01    2120 A       839 A       703 A   
  32.50 keV   8.709E+01  2.789E+01    2293 A       883 A       748 A   
  35.00 keV   9.036E+01  2.681E+01    2464 A       925 A       792 A   
  37.50 keV   9.342E+01  2.582E+01    2634 A       966 A       834 A   
  40.00 keV   9.627E+01  2.491E+01    2802 A      1004 A       875 A   
  45.00 keV   1.014E+02  2.331E+01    3135 A      1076 A       954 A   
