 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 20, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/proton_500mb_CF4_90-10.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.4893E-04 g/cm3 = 2.7748E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.191E-02  1.519E-04    1.05 mm   260.70 um   272.39 um  
  11.00 keV   1.249E-02  1.420E-04    1.13 mm   267.18 um   282.32 um  
  12.00 keV   1.303E-02  1.334E-04    1.20 mm   272.96 um   291.39 um  
  13.00 keV   1.354E-02  1.259E-04    1.27 mm   278.16 um   299.75 um  
  14.00 keV   1.401E-02  1.194E-04    1.33 mm   282.88 um   307.50 um  
  15.00 keV   1.446E-02  1.135E-04    1.40 mm   287.19 um   314.72 um  
  16.00 keV   1.487E-02  1.083E-04    1.46 mm   291.16 um   321.48 um  
  17.00 keV   1.526E-02  1.035E-04    1.53 mm   294.82 um   327.84 um  
  18.00 keV   1.562E-02  9.923E-05    1.59 mm   298.24 um   333.85 um  
  20.00 keV   1.628E-02  9.173E-05    1.71 mm   304.62 um   344.97 um  
  22.50 keV   1.701E-02  8.395E-05    1.85 mm   311.71 um   357.47 um  
  25.00 keV   1.766E-02  7.750E-05    1.99 mm   317.94 um   368.74 um  
  27.50 keV   1.824E-02  7.206E-05    2.12 mm   323.49 um   379.01 um  
  30.00 keV   1.876E-02  6.740E-05    2.25 mm   328.49 um   388.47 um  
  32.50 keV   1.923E-02  6.336E-05    2.38 mm   333.05 um   397.25 um  
