 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 05, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/4He_900mb_CF4_90-10.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9946E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.538E-02  2.986E-03  478.06 um   164.02 um   148.64 um  
  11.00 keV   1.616E-02  2.818E-03  522.14 um   173.31 um   159.02 um  
  12.00 keV   1.691E-02  2.671E-03  565.31 um   181.92 um   168.84 um  
  13.00 keV   1.763E-02  2.541E-03  607.62 um   189.90 um   178.15 um  
  14.00 keV   1.832E-02  2.424E-03  649.09 um   197.35 um   186.99 um  
  15.00 keV   1.899E-02  2.319E-03  689.77 um   204.30 um   195.41 um  
  16.00 keV   1.965E-02  2.225E-03  729.69 um   210.81 um   203.43 um  
  17.00 keV   2.028E-02  2.138E-03  768.88 um   216.92 um   211.09 um  
  18.00 keV   2.090E-02  2.060E-03  807.37 um   222.68 um   218.41 um  
  20.00 keV   2.209E-02  1.920E-03  882.39 um   233.31 um   232.16 um  
  22.50 keV   2.350E-02  1.773E-03  972.74 um   245.13 um   247.86 um  
  25.00 keV   2.484E-02  1.650E-03    1.06 mm   255.55 um   262.14 um  
  27.50 keV   2.612E-02  1.545E-03    1.14 mm   264.83 um   275.22 um  
  30.00 keV   2.735E-02  1.453E-03    1.22 mm   273.16 um   287.26 um  
  32.50 keV   2.853E-02  1.374E-03    1.30 mm   280.69 um   298.40 um  
