 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 23, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/7Li_900mb_CF4_95-5.txt

 Ion = Lithium [3] , Mass = 7.016 amu

 Target Density =  2.9667E-04 g/cm3 = 6.0820E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    088.37    030.32   
      C      6    002.33    009.53   
      F      9    009.30    060.15   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.006E-02  1.148E-02  356.43 um   105.10 um    84.09 um  
  11.00 keV   1.055E-02  1.093E-02  396.23 um   114.40 um    92.66 um  
  12.00 keV   1.102E-02  1.044E-02  436.29 um   123.46 um   101.18 um  
  13.00 keV   1.147E-02  1.000E-02  476.53 um   132.26 um   109.64 um  
  14.00 keV   1.191E-02  9.601E-03  516.91 um   140.83 um   118.03 um  
  15.00 keV   1.235E-02  9.237E-03  557.32 um   149.15 um   126.33 um  
  16.00 keV   1.279E-02  8.904E-03  597.71 um   157.22 um   134.54 um  
  17.00 keV   1.322E-02  8.598E-03  638.02 um   165.05 um   142.63 um  
  18.00 keV   1.364E-02  8.316E-03  678.22 um   172.65 um   150.62 um  
  20.00 keV   1.446E-02  7.811E-03  758.21 um   187.26 um   166.25 um  
  22.50 keV   1.544E-02  7.271E-03  857.16 um   204.36 um   185.10 um  
  25.00 keV   1.639E-02  6.812E-03  954.72 um   220.23 um   203.16 um  
  27.50 keV   1.730E-02  6.414E-03    1.05 mm   234.97 um   220.43 um  
  30.00 keV   1.819E-02  6.066E-03    1.15 mm   248.69 um   236.93 um  
  32.50 keV   1.906E-02  5.759E-03    1.24 mm   261.48 um   252.71 um  
