 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 23, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/8Li_silicon.txt

 Ion = Lithium [3] , Mass = 8.022488 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.887E+01  3.305E+01     696 A       404 A       315 A   
  11.00 keV   6.174E+01  3.196E+01     765 A       433 A       339 A   
  12.00 keV   6.449E+01  3.095E+01     834 A       460 A       364 A   
  13.00 keV   6.712E+01  3.002E+01     903 A       487 A       387 A   
  14.00 keV   6.965E+01  2.914E+01     971 A       513 A       410 A   
  15.00 keV   7.210E+01  2.833E+01    1040 A       538 A       433 A   
  16.00 keV   7.446E+01  2.756E+01    1108 A       562 A       455 A   
  17.00 keV   7.689E+01  2.684E+01    1176 A       586 A       477 A   
  18.00 keV   7.923E+01  2.617E+01    1243 A       608 A       498 A   
  20.00 keV   8.369E+01  2.493E+01    1377 A       651 A       539 A   
  22.50 keV   8.883E+01  2.357E+01    1542 A       701 A       588 A   
  25.00 keV   9.349E+01  2.237E+01    1705 A       748 A       635 A   
  27.50 keV   9.769E+01  2.130E+01    1867 A       791 A       680 A   
  30.00 keV   1.015E+02  2.035E+01    2027 A       832 A       722 A   
  32.50 keV   1.049E+02  1.949E+01    2185 A       871 A       764 A   
  35.00 keV   1.081E+02  1.872E+01    2342 A       908 A       803 A   
  37.50 keV   1.112E+02  1.801E+01    2498 A       943 A       841 A   
  40.00 keV   1.144E+02  1.736E+01    2653 A       977 A       878 A   
  45.00 keV   1.210E+02  1.622E+01    2957 A      1039 A       949 A   
