 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 19, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/9He_900mb_CF4_95-5.txt

 Ion = Helium [2] , Mass = 9.04395 amu

 Target Density =  2.9667E-04 g/cm3 = 4.6754E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    002.33    009.53   
      F      9    009.30    060.15   
      H      1    088.37    030.32   
 ====================================
 Bragg Correction = -4.31%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.754E-03  4.279E-03  778.52 um   218.07 um   178.66 um  
  11.00 keV   6.035E-03  4.047E-03  864.74 um   236.32 um   196.77 um  
  12.00 keV   6.303E-03  3.842E-03  950.93 um   253.84 um   214.58 um  
  13.00 keV   6.560E-03  3.659E-03    1.04 mm   270.66 um   232.05 um  
  14.00 keV   6.808E-03  3.496E-03    1.12 mm   286.80 um   249.18 um  
  15.00 keV   7.047E-03  3.349E-03    1.21 mm   302.31 um   265.95 um  
  16.00 keV   7.278E-03  3.216E-03    1.29 mm   317.22 um   282.37 um  
  17.00 keV   7.502E-03  3.094E-03    1.38 mm   331.55 um   298.43 um  
  18.00 keV   7.720E-03  2.982E-03    1.46 mm   345.35 um   314.13 um  
  20.00 keV   8.153E-03  2.785E-03    1.63 mm   371.64 um   344.50 um  
  22.50 keV   8.670E-03  2.576E-03    1.83 mm   401.98 um   380.55 um  
  25.00 keV   9.161E-03  2.400E-03    2.03 mm   429.68 um   414.55 um  
  27.50 keV   9.630E-03  2.250E-03    2.23 mm   455.08 um   446.66 um  
  30.00 keV   1.008E-02  2.119E-03    2.42 mm   478.46 um   477.00 um  
  32.50 keV   1.052E-02  2.004E-03    2.60 mm   500.07 um   505.73 um  
