 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 25, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/9He_silicon.txt

 Ion = Helium [2] , Mass = 9.043946 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -4.31%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.709E+01  2.141E+01    1104 A       585 A       463 A   
  11.00 keV   3.890E+01  2.055E+01    1219 A       629 A       502 A   
  12.00 keV   4.063E+01  1.977E+01    1333 A       671 A       540 A   
  13.00 keV   4.229E+01  1.906E+01    1448 A       712 A       577 A   
  14.00 keV   4.389E+01  1.840E+01    1562 A       750 A       614 A   
  15.00 keV   4.543E+01  1.780E+01    1676 A       788 A       649 A   
  16.00 keV   4.692E+01  1.724E+01    1789 A       824 A       684 A   
  17.00 keV   4.836E+01  1.672E+01    1902 A       859 A       718 A   
  18.00 keV   4.976E+01  1.624E+01    2014 A       893 A       752 A   
  20.00 keV   5.249E+01  1.536E+01    2238 A       957 A       816 A   
  22.50 keV   5.566E+01  1.441E+01    2514 A      1032 A       893 A   
  25.00 keV   5.860E+01  1.359E+01    2786 A      1101 A       967 A   
  27.50 keV   6.140E+01  1.287E+01    3055 A      1165 A      1036 A   
  30.00 keV   6.413E+01  1.224E+01    3320 A      1226 A      1103 A   
  32.50 keV   6.683E+01  1.167E+01    3581 A      1282 A      1166 A   
  35.00 keV   6.954E+01  1.116E+01    3838 A      1334 A      1227 A   
  37.50 keV   7.227E+01  1.070E+01    4090 A      1384 A      1285 A   
  40.00 keV   7.501E+01  1.028E+01    4337 A      1430 A      1340 A   
