 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 21, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/9Li_silicon.txt

 Ion = Lithium [3] , Mass = 9.02679 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.550E+01  3.652E+01     699 A       397 A       306 A   
  11.00 keV   5.820E+01  3.534E+01     769 A       426 A       331 A   
  12.00 keV   6.079E+01  3.424E+01     839 A       455 A       356 A   
  13.00 keV   6.328E+01  3.321E+01     908 A       482 A       379 A   
  14.00 keV   6.566E+01  3.226E+01     978 A       508 A       403 A   
  15.00 keV   6.797E+01  3.136E+01    1048 A       534 A       425 A   
  16.00 keV   7.020E+01  3.053E+01    1117 A       559 A       448 A   
  17.00 keV   7.236E+01  2.974E+01    1186 A       583 A       470 A   
  18.00 keV   7.446E+01  2.900E+01    1255 A       606 A       491 A   
  20.00 keV   7.871E+01  2.765E+01    1393 A       650 A       533 A   
  22.50 keV   8.368E+01  2.615E+01    1562 A       702 A       584 A   
  25.00 keV   8.827E+01  2.483E+01    1730 A       751 A       632 A   
  27.50 keV   9.249E+01  2.365E+01    1895 A       796 A       678 A   
  30.00 keV   9.634E+01  2.261E+01    2059 A       839 A       722 A   
  32.50 keV   9.983E+01  2.166E+01    2222 A       879 A       764 A   
  35.00 keV   1.030E+02  2.080E+01    2383 A       918 A       805 A   
  37.50 keV   1.060E+02  2.002E+01    2543 A       954 A       845 A   
  40.00 keV   1.088E+02  1.931E+01    2701 A       989 A       883 A   
  45.00 keV   1.143E+02  1.804E+01    3015 A      1055 A       956 A   
